% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
37879	1	2	1	2	0	24	3182	0	1	1	0
37879	1	2	1	2	1	24	3182	0	1	1	0
37880	1	1	2	2	0	22	5861	0	1	1	0
37880	1	1	2	2	1	22	5861	0	1	1	0
37881	1	1	2	2	0	22	2769	0	1	1	0
37881	1	1	2	2	1	22	2769	0	1	1	0
37881	1	2	1	2	0	24	3182	0	1	1	0
37881	1	2	1	2	1	24	3182	0	1	1	0
37883	1	1	2	2	0	22	2769	0	1	1	0
37883	1	1	2	2	1	22	2769	0	1	1	0
37883	1	2	1	2	0	24	3182	0	1	1	0
37883	1	2	1	2	1	24	3182	0	1	1	0
37890	1	1	2	2	0	22	2769	0	1	1	0
37890	1	1	2	2	1	22	2769	0	1	1	0
37890	1	2	1	2	0	22	2769	0	1	1	0
37890	1	2	1	2	1	22	2769	0	1	1	0
37893	1	1	2	2	0	22	2769	0	1	1	0
37893	1	1	2	2	1	22	2769	0	1	1	0
37893	1	2	1	2	0	22	2769	0	1	1	0
37893	1	2	1	2	1	22	2769	0	1	1	0
37901	1	1	2	2	0	22	5861	0	1	1	0
37901	1	1	2	2	1	22	5861	0	1	1	0
37901	1	2	1	2	0	18	4107	0	1	1	0
37901	1	2	1	2	1	18	4107	0	1	1	0
37902	1	1	2	2	0	22	5861	0	1	1	0
37902	1	1	2	2	1	22	5861	0	1	1	0
37903	1	2	1	2	0	18	4107	0	1	1	0
37903	1	2	1	2	1	18	4107	0	1	1	0
37905	1	1	2	2	0	22	5861	0	1	1	0
37905	1	1	2	2	1	22	5861	0	1	1	0
37906	1	1	2	2	0	22	5861	0	1	1	0
37906	1	1	2	2	1	22	5861	0	1	1	0
37907	1	1	2	2	0	22	5861	0	1	1	0
37907	1	1	2	2	1	22	5861	0	1	1	0
37923	1	1	2	2	0	16	1836	0	1	1	0
37923	1	1	2	2	1	16	1836	0	1	1	0
37923	1	2	1	2	0	16	1836	0	1	1	0
37923	1	2	1	2	1	16	1836	0	1	1	0
37924	1	1	2	2	0	16	1836	0	1	1	0
37924	1	1	2	2	1	16	1836	0	1	1	0
37924	1	2	1	2	0	16	1836	0	1	1	0
37924	1	2	1	2	1	16	1836	0	1	1	0
37925	1	1	2	2	0	16	1836	0	1	1	0
37925	1	1	2	2	1	16	1836	0	1	1	0
37925	1	2	1	2	0	16	1836	0	1	1	0
37925	1	2	1	2	1	16	1836	0	1	1	0
37926	1	1	2	2	0	16	1836	0	1	1	0
37926	1	1	2	2	1	16	1836	0	1	1	0
37926	1	2	1	2	0	16	1836	0	1	1	0
37926	1	2	1	2	1	16	1836	0	1	1	0
37927	1	1	2	2	0	16	1836	0	1	1	0
37927	1	1	2	2	1	16	1836	0	1	1	0
37927	1	2	1	2	0	16	1836	0	1	1	0
37927	1	2	1	2	1	16	1836	0	1	1	0
37928	1	2	1	2	0	18	4107	0	1	1	0
37928	1	2	1	2	1	18	4107	0	1	1	0
37929	1	2	1	2	0	18	4107	0	1	1	0
37929	1	2	1	2	1	18	4107	0	1	1	0
37930	1	2	1	2	0	18	4107	0	1	1	0
37930	1	2	1	2	1	18	4107	0	1	1	0
37931	1	2	1	2	0	18	4107	0	1	1	0
37931	1	2	1	2	1	18	4107	0	1	1	0
37932	1	1	2	2	0	16	1836	0	1	1	0
37932	1	1	2	2	1	16	1836	0	1	1	0
37932	1	2	1	2	0	18	1980	0	1	1	0
37932	1	2	1	2	1	18	1980	0	1	1	0
37933	1	1	2	2	0	16	1836	0	1	1	0
