% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
8.641	1	2	1	49.7837	0
8.642	1	1	2	113.489	0
8.681	1	2	1	169.796	0
8.682	1	1	2	140.653	0
8.721	1	2	1	111.14	0
8.722	1	1	2	40.4823	0
8.761	1	2	1	139.222	0
8.762	1	1	2	69.4532	0
8.801	1	2	1	37.5444	0
8.802	1	1	2	51.8971	0
8.841	1	2	1	76.322	0
8.842	1	1	2	75.9288	0
8.881	1	2	1	54.2247	0
8.882	1	1	2	158.053	0
8.921	1	2	1	70.3876	0
8.922	1	1	2	106.311	0
8.961	1	2	1	146.333	0
8.962	1	1	2	79.5594	0
9.001	1	2	1	152.72	0
9.002	1	1	2	52.9384	0
9.041	1	2	1	36.8354	0
9.042	1	1	2	36.7985	0
9.081	1	2	1	60.1959	0
9.082	1	1	2	87.9077	0
9.121	1	2	1	63.2373	0
9.122	1	1	2	98.7714	0
9.161	1	2	1	40.9197	0
9.162	1	1	2	63.0178	0
9.201	1	2	1	46.2083	0
9.202	1	1	2	71.327	0
9.241	1	2	1	70.9392	0
9.242	1	1	2	43.3273	0
9.281	1	2	1	80.085	0
9.282	1	1	2	63.033	0
9.321	1	2	1	56.1441	0
9.322	1	1	2	42.3694	0
9.361	1	2	1	82.5296	0
9.362	1	1	2	58.0922	0
9.401	1	2	1	68.0539	0
9.402	1	1	2	91.4035	0
9.441	1	2	1	42.7149	0
9.442	1	1	2	163.359	0
9.481	1	2	1	65.6904	0
9.482	1	1	2	42.588	0
9.521	1	2	1	26.1637	0
9.522	1	1	2	100.326	0
9.561	1	2	1	147.554	0
9.562	1	1	2	52.8677	0
9.601	1	2	1	209.118	0
9.602	1	1	2	69.9758	0
9.641	1	2	1	53.9868	0
9.642	1	1	2	28.8043	0
9.681	1	2	1	154.534	0
9.682	1	1	2	139.304	0
9.721	1	2	1	92.1545	0
9.722	1	1	2	44.575	0
9.761	1	2	1	33.3678	0
9.762	1	1	2	61.7123	0
9.801	1	2	1	76.0725	0
9.802	1	1	2	40.9554	0
9.841	1	2	1	36.6865	0
9.842	1	1	2	121.002	0
9.881	1	2	1	63.8341	0
9.882	1	1	2	64.8097	0
9.921	1	2	1	40.9329	0
9.922	1	1	2	56.1674	0
9.961	1	2	1	70.8225	0
9.962	1	1	2	65.547	0
10.001	1	2	1	169.437	0
10.002	1	1	2	136.618	0
10.041	1	2	1	105.32	0
10.042	1	1	2	100.643	0
10.081	1	2	1	68.5803	0
10.082	1	1	2	84.5953	0
10.121	1	2	1	54.6659	0
10.122	1	1	2	111.759	0
10.161	1	2	1	43.219	0
10.162	1	1	2	49.2415	0
10.201	1	2	1	61.552	0
10.202	1	1	2	247.127	0
10.241	1	2	1	94.8733	0
10.242	1	1	2	31.3455	0
10.281	1	2	1	39.2715	0
10.282	1	1	2	45.3272	0
10.321	1	2	1	81.2418	0
10.322	1	1	2	169.179	0
10.361	1	2	1	27.7357	0
10.362	1	1	2	95.7249	0
10.401	1	2	1	20.1568	0
10.402	1	1	2	175.902	0
10.441	1	2	1	88.6049	0
10.442	1	1	2	43.9923	0
10.481	1	2	1	42.9243	0
10.482	1	1	2	20.1603	0
