% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
36287	1	2	1	0	4	453	0	1	1	0
36288	1	2	1	0	4	453	0	1	1	0
36289	1	2	1	0	4	453	0	1	1	0
36290	1	2	1	0	4	453	0	1	1	0
36291	1	2	1	0	4	453	0	1	1	0
36292	1	2	1	0	4	453	0	1	1	0
36293	1	2	1	0	4	453	0	1	1	0
36294	1	2	1	0	4	453	0	1	1	0
36295	1	2	1	0	4	453	0	1	1	0
36296	1	2	1	0	4	453	0	1	1	0
36297	1	2	1	0	4	453	0	1	1	0
36298	1	2	1	0	4	453	0	1	1	0
36299	1	2	1	0	4	453	0	1	1	0
36300	1	2	1	0	4	453	0	1	1	0
36301	1	2	1	0	4	453	0	1	1	0
36302	1	2	1	0	4	453	0	1	1	0
36303	1	2	1	0	4	453	0	1	1	0
36304	1	2	1	0	4	453	0	1	1	0
36305	1	2	1	0	4	453	0	1	1	0
36306	1	2	1	0	4	453	0	1	1	0
36307	1	2	1	0	4	453	0	1	1	0
36308	1	2	1	0	4	453	0	1	1	0
36309	1	2	1	0	4	453	0	1	1	0
36310	1	2	1	0	4	453	0	1	1	0
36311	1	2	1	0	4	453	0	1	1	0
36312	1	2	1	0	4	453	0	1	1	0
36313	1	2	1	0	4	453	0	1	1	0
36314	1	2	1	0	4	453	0	1	1	0
36315	1	2	1	0	4	453	0	1	1	0
36316	1	2	1	0	4	453	0	1	1	0
36317	1	2	1	0	4	453	0	1	1	0
36318	1	2	1	0	4	453	0	1	1	0
36319	1	2	1	0	4	453	0	1	1	0
36320	1	2	1	0	4	453	0	1	1	0
36321	1	2	1	0	4	453	0	1	1	0
36322	1	2	1	0	4	453	0	1	1	0
36323	1	2	1	0	4	453	0	1	1	0
36324	1	2	1	0	4	453	0	1	1	0
36325	1	2	1	0	4	453	0	1	1	0
36326	1	2	1	0	4	453	0	1	1	0
36327	1	2	1	0	6	645	0	1	1	0
36328	1	2	1	0	6	645	0	1	1	0
36328	1	1	2	0	8	871	0	1	1	0
36329	1	2	1	0	6	1287	0	1	1	0
36330	1	2	1	0	6	1287	0	1	1	0
36331	1	2	1	0	6	1287	0	1	1	0
36332	1	2	1	0	6	1287	0	1	1	0
36333	1	2	1	0	6	645	0	1	1	0
36333	1	1	2	0	8	871	0	1	0	0
36334	1	2	1	0	6	1287	0	1	1	0
36335	1	2	1	0	6	1287	0	1	1	0
36336	1	2	1	0	6	1287	0	1	1	0
36337	1	2	1	0	6	1287	0	1	1	0
36340	1	2	1	0	6	1287	0	1	1	0
36341	1	2	1	0	6	1287	0	1	1	0
36342	1	2	1	0	6	1287	0	1	1	0
36343	1	2	1	0	6	1287	0	1	1	0
36344	1	2	1	0	6	1287	0	1	1	0
36345	1	2	1	0	6	1287	0	1	1	0
36347	1	2	1	0	6	1287	0	1	1	0
36348	1	2	1	0	6	1287	0	1	1	0
36349	1	2	1	0	6	1287	0	1	1	0
36350	1	2	1	0	6	1287	0	1	1	0
36351	1	2	1	0	6	1287	0	1	1	0
36353	1	2	1	0	6	1287	0	1	1	0
36354	1	2	1	0	6	1287	0	1	1	0
36355	1	2	1	0	6	1287	0	1	1	0
36357	1	2	1	0	6	1287	0	1	1	0
36358	1	2	1	0	6	1287	0	1	1	0
36359	1	2	1	0	6	1287	0	1	1	0
36360	1	2	1	0	6	1287	0	1	1	0
36363	1	2	1	0	6	1287	0	1	1	0
36364	1	2	1	0	6	1287	0	1	1	0
36365	1	2	1	0	6	1287	0	1	1	0
36366	1	2	1	0	6	1287	0	1	1	0
36377	1	2	1	0	0	173	0	1	1	0
36377	1	1	2	0	6	645	0	1	1	0
36378	1	2	1	0	0	173	0	1	1	0
36378	1	1	2	0	6	645	0	1	0	0
36379	1	2	1	0	0	173	0	1	1	0
36379	1	1	2	0	6	645	0	1	0	0
36447	1	2	1	0	6	645	0	1	1	0
36448	1	2	1	0	6	645	0	1	1	0
36448	1	1	2	0	4	453	0	1	1	0
36451	1	2	1	0	6	645	0	1	1	0
36451	1	1	2	0	4	453	0	1	0	0
36452	1	2	1	0	6	645	0	1	1	0
36452	1	1	2	0	4	453	0	1	0	0
36497	1	1	2	0	4	453	0	1	1	0
36568	1	1	2	0	2	277	0	1	1	0
36569	1	1	2	0	2	277	0	1	1	0
36597	1	1	2	0	2	277	0	1	1	0
36617	1	1	2	0	8	871	0	1	1	0
36666	1	1	2	0	0	173	0	1	1	0
36667	1	1	2	0	0	173	0	1	1	0
36687	1	1	2	0	0	173	0	1	1	0
36715	1	1	2	0	2	277	0	1	1	0
36716	1	1	2	0	2	277	0	1	1	0
36727	1	2	1	0	0	349	0	1	1	0
36728	1	2	1	0	0	349	0	1	1	0
36729	1	2	1	0	0	349	0	1	1	0
36730	1	2	1	0	0	349	0	1	1	0
36731	1	2	1	0	0	349	0	1	1	0
36732	1	2	1	0	0	349	0	1	1	0
36733	1	2	1	0	0	349	0	1	1	0
36734	1	2	1	0	0	349	0	1	1	0
36735	1	2	1	0	0	349	0	1	1	0
36736	1	2	1	0	0	349	0	1	1	0
36737	1	2	1	0	4	453	0	1	1	0
