% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
33299	1	2	1	0	4	453	0	1	0
33300	1	2	1	0	4	453	0	1	0
33301	1	2	1	0	4	453	0	1	0
33302	1	2	1	0	4	453	0	1	0
33303	1	2	1	0	4	453	0	1	0
33304	1	2	1	0	4	453	0	1	0
33305	1	2	1	0	4	453	0	1	0
33306	1	2	1	0	4	453	0	1	0
33307	1	2	1	0	4	453	0	1	0
33308	1	2	1	0	4	453	0	1	0
33309	1	2	1	0	4	453	0	1	0
33310	1	2	1	0	4	453	0	1	0
33311	1	2	1	0	4	453	0	1	0
33312	1	2	1	0	4	453	0	1	0
33313	1	2	1	0	4	453	0	1	0
33314	1	2	1	0	4	453	0	1	0
33315	1	2	1	0	4	453	0	1	0
33316	1	2	1	0	4	453	0	1	0
33317	1	2	1	0	4	453	0	1	0
33318	1	2	1	0	4	453	0	1	0
33319	1	2	1	0	4	453	0	1	0
33320	1	2	1	0	4	453	0	1	0
33321	1	2	1	0	4	453	0	1	0
33322	1	2	1	0	4	453	0	1	0
33323	1	2	1	0	4	453	0	1	0
33324	1	2	1	0	4	453	0	1	0
33325	1	2	1	0	4	453	0	1	0
33326	1	2	1	0	4	453	0	1	0
33327	1	2	1	0	4	453	0	1	0
33328	1	2	1	0	4	453	0	1	0
33329	1	2	1	0	4	453	0	1	0
33330	1	2	1	0	4	453	0	1	0
33331	1	2	1	0	4	453	0	1	0
33332	1	2	1	0	4	453	0	1	0
33333	1	2	1	0	4	453	0	1	0
33334	1	2	1	0	4	453	0	1	0
33335	1	2	1	0	4	453	0	1	0
33336	1	2	1	0	4	453	0	1	0
33337	1	2	1	0	4	453	0	1	0
33338	1	2	1	0	4	453	0	1	0
33339	1	2	1	0	4	453	0	1	0
33340	1	2	1	0	4	453	0	1	0
33341	1	2	1	0	4	453	0	1	0
33342	1	2	1	0	4	453	0	1	0
33343	1	2	1	0	4	453	0	1	0
33344	1	2	1	0	4	453	0	1	0
33345	1	2	1	0	4	453	0	1	0
33348	1	2	1	0	4	453	0	1	0
33351	1	2	1	0	4	453	0	1	0
33352	1	2	1	0	4	453	0	1	0
33353	1	2	1	0	4	453	0	1	0
33354	1	2	1	0	4	453	0	1	0
33355	1	2	1	0	4	453	0	1	0
33356	1	2	1	0	4	453	0	1	0
33357	1	2	1	0	4	453	0	1	0
33358	1	2	1	0	4	453	0	1	0
33359	1	2	1	0	4	453	0	1	0
33360	1	2	1	0	4	453	0	1	0
33361	1	2	1	0	4	453	0	1	0
33362	1	2	1	0	4	453	0	1	0
33363	1	2	1	0	4	453	0	1	0
33364	1	2	1	0	4	453	0	1	0
33365	1	2	1	0	4	453	0	1	0
33366	1	2	1	0	4	453	0	1	0
33368	1	1	2	0	10	1095	0	1	0
33417	1	2	1	0	2	277	0	1	0
33418	1	2	1	0	2	277	0	1	0
33419	1	2	1	0	2	277	0	1	0
33420	1	2	1	0	2	277	0	1	0
33421	1	2	1	0	2	277	0	1	0
33422	1	2	1	0	2	277	0	1	0
33423	1	2	1	0	2	277	0	1	0
33424	1	2	1	0	2	277	0	1	0
33433	1	2	1	0	2	277	0	1	0
33434	1	2	1	0	2	277	0	1	0
33435	1	2	1	0	2	277	0	1	0
33436	1	2	1	0	2	277	0	1	0
33437	1	2	1	0	2	277	0	1	0
33438	1	2	1	0	2	277	0	1	0
33439	1	2	1	0	2	277	0	1	0
33440	1	2	1	0	2	277	0	1	0
33441	1	2	1	0	2	277	0	1	0
33442	1	2	1	0	2	277	0	1	0
33443	1	2	1	0	2	277	0	1	0
33444	1	2	1	0	2	277	0	1	0
33445	1	2	1	0	2	277	0	1	0
33446	1	2	1	0	2	277	0	1	0
33448	1	1	2	0	6	1287	0	1	0
33458	1	1	2	0	6	645	0	1	0
33497	1	1	2	0	2	277	0	1	0
33497	1	2	1	0	10	1095	0	1	0
33498	1	1	2	0	2	277	0	1	0
33498	1	2	1	0	10	1095	0	1	0
33527	1	2	1	0	0	349	0	1	0
33528	1	2	1	0	0	349	0	1	0
33529	1	2	1	0	0	349	0	1	0
33530	1	2	1	0	0	349	0	1	0
33531	1	2	1	0	0	349	0	1	0
33532	1	2	1	0	0	349	0	1	0
33533	1	2	1	0	0	349	0	1	0
33534	1	2	1	0	0	349	0	1	0
33535	1	2	1	0	0	349	0	1	0
33536	1	2	1	0	0	349	0	1	0
33537	1	2	1	0	0	349	0	1	0
33538	1	2	1	0	0	349	0	1	0
33539	1	2	1	0	0	349	0	1	0
33540	1	2	1	0	0	349	0	1	0
33543	1	2	1	0	0	349	0	1	0
