% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
1415	1	1	2	0	28	4395	0	1	0
1415	1	1	2	1	28	4395	0	1	0
1416	1	1	2	0	28	4395	0	1	0
1416	1	1	2	1	28	4395	0	1	0
1416	1	2	1	0	28	4395	0	1	0
1416	1	2	1	1	28	4395	0	1	0
1417	1	2	1	0	28	4395	0	1	0
1417	1	2	1	1	28	4395	0	1	0
1417	1	1	2	0	28	4395	0	1	0
1417	1	1	2	1	28	4395	0	1	0
1418	1	1	2	0	28	4395	0	1	0
1418	1	1	2	1	28	4395	0	1	0
1418	1	2	1	0	28	4395	0	1	0
1418	1	2	1	1	28	4395	0	1	0
1419	1	2	1	0	28	4395	0	1	0
1419	1	2	1	1	28	4395	0	1	0
1419	1	1	2	0	28	4395	0	1	0
1419	1	1	2	1	28	4395	0	1	0
1420	1	1	2	0	28	4395	0	1	0
1420	1	1	2	1	28	4395	0	1	0
1420	1	2	1	0	28	4395	0	1	0
1420	1	2	1	1	28	4395	0	1	0
1421	1	2	1	0	28	4395	0	1	0
1421	1	2	1	1	28	4395	0	1	0
1421	1	1	2	0	28	4395	0	1	0
1421	1	1	2	1	28	4395	0	1	0
1422	1	1	2	0	28	4395	0	1	0
1422	1	1	2	1	28	4395	0	1	0
1422	1	2	1	0	28	4395	0	1	0
1422	1	2	1	1	28	4395	0	1	0
1423	1	2	1	0	28	4395	0	1	0
1423	1	2	1	1	28	4395	0	1	0
1423	1	1	2	0	28	4395	0	1	0
1423	1	1	2	1	28	4395	0	1	0
1424	1	1	2	0	28	4395	0	1	0
1424	1	1	2	1	28	4395	0	1	0
1424	1	2	1	0	28	4395	0	1	0
1424	1	2	1	1	28	4395	0	1	0
1429	1	2	1	0	28	4395	0	1	0
1429	1	2	1	1	28	4395	0	1	0
1429	1	1	2	0	26	3662	0	1	0
1429	1	1	2	1	26	3662	0	1	0
1430	1	2	1	0	28	9422	0	1	0
1430	1	2	1	1	28	9422	0	1	0
1431	1	2	1	0	28	9422	0	1	0
1431	1	2	1	1	28	9422	0	1	0
1448	1	2	1	0	28	9422	0	1	0
1448	1	2	1	1	28	9422	0	1	0
1449	1	2	1	0	28	9422	0	1	0
1449	1	2	1	1	28	9422	0	1	0
1450	1	2	1	0	26	7708	0	1	0
1450	1	2	1	1	26	7708	0	1	0
1451	1	2	1	0	26	7708	0	1	0
1451	1	2	1	1	26	7708	0	1	0
1452	1	2	1	0	26	7708	0	1	0
1452	1	2	1	1	26	7708	0	1	0
1453	1	2	1	0	26	7708	0	1	0
1453	1	2	1	1	26	7708	0	1	0
1454	1	2	1	0	28	9422	0	1	0
1454	1	2	1	1	28	9422	0	1	0
1455	1	2	1	0	28	9422	0	1	0
1455	1	2	1	1	28	9422	0	1	0
1456	1	2	1	0	28	9422	0	1	0
1456	1	2	1	1	28	9422	0	1	0
1457	1	2	1	0	28	9422	0	1	0
1457	1	2	1	1	28	9422	0	1	0
1458	1	2	1	0	28	9422	0	1	0
1458	1	2	1	1	28	9422	0	1	0
1459	1	2	1	0	28	9422	0	1	0
1459	1	2	1	1	28	9422	0	1	0
1460	1	2	1	0	28	9422	0	1	0
1460	1	2	1	1	28	9422	0	1	0
1461	1	1	2	0	28	4395	0	1	0
1461	1	1	2	1	28	4395	0	1	0
1461	1	2	1	0	28	4395	0	1	0
1461	1	2	1	1	28	4395	0	1	0
1462	1	2	1	0	26	3662	0	1	0
1462	1	2	1	1	26	3662	0	1	0
1462	1	1	2	0	28	4395	0	1	0
1462	1	1	2	1	28	4395	0	1	0
1463	1	1	2	0	28	4395	0	1	0
1463	1	1	2	1	28	4395	0	1	0
1463	1	2	1	0	26	3662	0	1	0
1463	1	2	1	1	26	3662	0	1	0
1464	1	2	1	0	28	4395	0	1	0
1464	1	2	1	1	28	4395	0	1	0
1464	1	1	2	0	28	4395	0	1	0
1464	1	1	2	1	28	4395	0	1	0
1465	1	1	2	0	28	4395	0	1	0
1465	1	1	2	1	28	4395	0	1	0
1465	1	2	1	0	28	4395	0	1	0
1465	1	2	1	1	28	4395	0	1	0
1466	1	2	1	0	28	4395	0	1	0
1466	1	2	1	1	28	4395	0	1	0
1466	1	1	2	0	28	4395	0	1	0
1466	1	1	2	1	28	4395	0	1	0
1467	1	1	2	0	28	9422	0	1	0
1467	1	1	2	1	28	9422	0	1	0
1468	1	1	2	0	28	9422	0	1	0
1468	1	1	2	1	28	9422	0	1	0
1470	1	2	1	0	28	9422	0	1	0
1470	1	2	1	1	28	9422	0	1	0
1471	1	2	1	0	28	9422	0	1	0
1471	1	2	1	1	28	9422	0	1	0
1472	1	2	1	0	28	9422	0	1	0
1472	1	2	1	1	28	9422	0	1	0
1473	1	2	1	0	28	9422	0	1	0
1473	1	2	1	1	28	9422	0	1	0
1474	1	2	1	0	28	9422	0	1	0
1474	1	2	1	1	28	9422	0	1	0
1475	1	2	1	0	28	9422	0	1	0
